starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 22 15:13:05 2020	1603375985	27	21	48	20
Thu Oct 22 15:13:05 2020	1603375985	20	29	49	28
Thu Oct 22 15:13:05 2020	1603375985	21	28	49	26
Thu Oct 22 15:13:05 2020	1603375985	27	22	49	21
Thu Oct 22 15:13:05 2020	1603375985	27	23	50	22
Thu Oct 22 15:13:05 2020	1603375985	28	22	50	21
Thu Oct 22 15:13:05 2020	1603375985	25	26	51	25
Thu Oct 22 15:13:05 2020	1603375985	24	27	51	27
Thu Oct 22 15:13:05 2020	1603375985	25	26	51	24
Thu Oct 22 15:13:05 2020	1603375985	27	25	52	23
Thu Oct 22 15:13:05 2020	1603375985	26	26	52	25
Thu Oct 22 15:13:05 2020	1603375985	26	26	52	24
Thu Oct 22 15:13:05 2020	1603375985	23	30	52	27
Thu Oct 22 15:13:05 2020	1603375985	22	31	52	30
Thu Oct 22 15:13:05 2020	1603375985	29	24	52	24
Thu Oct 22 15:13:05 2020	1603375985	22	30	53	28
Thu Oct 22 15:13:05 2020	1603375985	27	26	53	25
Thu Oct 22 15:13:05 2020	1603375985	26	27	53	22
Thu Oct 22 15:13:05 2020	1603375985	25	27	53	26
Thu Oct 22 15:13:05 2020	1603375985	28	25	53	21
Thu Oct 22 15:13:05 2020	1603375985	28	26	53	24
Thu Oct 22 15:13:05 2020	1603375985	22	32	53	29
Thu Oct 22 15:13:05 2020	1603375985	25	28	53	26
Thu Oct 22 15:13:05 2020	1603375985	28	25	53	22
Thu Oct 22 15:13:05 2020	1603375985	27	26	54	23
Thu Oct 22 15:13:05 2020	1603375985	29	25	54	23
Thu Oct 22 15:13:05 2020	1603375985	26	28	54	26
Thu Oct 22 15:13:05 2020	1603375985	27	27	54	25
Thu Oct 22 15:13:07 2020	1603375987	27	27	54	25
Thu Oct 22 15:13:05 2020	1603375985	29	25	54	24
Thu Oct 22 15:13:05 2020	1603375985	25	29	54	26
Thu Oct 22 15:13:05 2020	1603375985	25	30	54	29
Thu Oct 22 15:13:05 2020	1603375985	28	27	55	25
Thu Oct 22 15:13:05 2020	1603375985	29	26	55	25
Thu Oct 22 15:13:05 2020	1603375985	30	25	55	21
Thu Oct 22 15:13:12 2020	1603375992	29	26	55	25
Thu Oct 22 15:13:07 2020	1603375987	28	27	55	26
Thu Oct 22 15:13:05 2020	1603375985	24	31	55	28
Thu Oct 22 15:13:07 2020	1603375987	30	26	55	25
Thu Oct 22 15:13:05 2020	1603375985	26	29	55	28
Thu Oct 22 15:13:07 2020	1603375987	27	29	55	27
Thu Oct 22 15:13:05 2020	1603375985	26	30	55	28
Thu Oct 22 15:13:05 2020	1603375985	27	28	55	27
Thu Oct 22 15:13:05 2020	1603375985	26	29	55	26
Thu Oct 22 15:13:05 2020	1603375985	28	27	56	26
Thu Oct 22 15:13:05 2020	1603375985	29	27	56	24
Thu Oct 22 15:13:05 2020	1603375985	29	27	56	25
Thu Oct 22 15:13:09 2020	1603375989	28	28	56	27
Thu Oct 22 15:13:05 2020	1603375985	25	31	56	30
Thu Oct 22 15:13:07 2020	1603375987	27	29	56	27
Thu Oct 22 15:13:12 2020	1603375992	29	27	56	27
Thu Oct 22 15:13:11 2020	1603375991	29	27	56	25
Thu Oct 22 15:13:05 2020	1603375985	25	31	56	30
Thu Oct 22 15:13:05 2020	1603375985	22	35	56	33
Thu Oct 22 15:13:10 2020	1603375990	28	28	56	27
Thu Oct 22 15:13:05 2020	1603375985	26	31	56	29
Thu Oct 22 15:13:06 2020	1603375986	26	30	56	28
Thu Oct 22 15:13:05 2020	1603375985	27	30	56	29
