starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 22 15:11:06 2020	1603375866	30	16	45	14
Thu Oct 22 15:11:06 2020	1603375866	29	17	45	15
Thu Oct 22 15:11:06 2020	1603375866	30	16	46	15
Thu Oct 22 15:11:06 2020	1603375866	28	18	46	17
Thu Oct 22 15:11:06 2020	1603375866	29	17	46	15
Thu Oct 22 15:11:06 2020	1603375866	29	17	46	15
Thu Oct 22 15:11:06 2020	1603375866	30	18	48	18
Thu Oct 22 15:11:07 2020	1603375867	28	20	48	18
Thu Oct 22 15:11:06 2020	1603375866	29	20	49	19
Thu Oct 22 15:11:06 2020	1603375866	21	28	49	27
Thu Oct 22 15:11:07 2020	1603375867	29	20	49	17
Thu Oct 22 15:11:06 2020	1603375866	20	29	50	27
Thu Oct 22 15:11:07 2020	1603375867	21	29	50	27
Thu Oct 22 15:11:06 2020	1603375866	28	21	50	17
Thu Oct 22 15:11:06 2020	1603375866	28	21	50	18
Thu Oct 22 15:11:07 2020	1603375867	22	28	50	26
Thu Oct 22 15:11:06 2020	1603375866	15	35	50	34
Thu Oct 22 15:11:07 2020	1603375867	21	29	50	29
Thu Oct 22 15:11:07 2020	1603375867	27	23	51	23
Thu Oct 22 15:11:06 2020	1603375866	17	34	51	33
Thu Oct 22 15:11:08 2020	1603375868	25	26	51	25
Thu Oct 22 15:11:06 2020	1603375866	22	29	51	29
Thu Oct 22 15:11:07 2020	1603375867	23	28	51	26
Thu Oct 22 15:11:06 2020	1603375866	29	22	51	20
Thu Oct 22 15:11:07 2020	1603375867	20	31	51	29
Thu Oct 22 15:11:06 2020	1603375866	27	24	51	23
Thu Oct 22 15:11:08 2020	1603375868	23	29	51	27
Thu Oct 22 15:11:07 2020	1603375867	30	22	51	20
Thu Oct 22 15:11:06 2020	1603375866	28	23	51	22
Thu Oct 22 15:11:06 2020	1603375866	28	23	52	22
Thu Oct 22 15:11:06 2020	1603375866	17	35	52	33
Thu Oct 22 15:11:06 2020	1603375866	30	21	52	20
Thu Oct 22 15:11:07 2020	1603375867	23	29	52	28
Thu Oct 22 15:11:06 2020	1603375866	22	30	52	28
Thu Oct 22 15:11:07 2020	1603375867	23	29	52	28
Thu Oct 22 15:11:09 2020	1603375869	23	29	52	28
Thu Oct 22 15:11:06 2020	1603375866	29	23	52	22
