starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 22 15:12:04 2020	1603375924	23	22	45	21
Thu Oct 22 15:12:04 2020	1603375924	23	24	47	22
Thu Oct 22 15:12:05 2020	1603375925	26	22	48	20
Thu Oct 22 15:12:04 2020	1603375924	24	24	48	23
Thu Oct 22 15:12:04 2020	1603375924	24	24	48	23
Thu Oct 22 15:12:04 2020	1603375924	23	26	49	21
Thu Oct 22 15:12:05 2020	1603375925	22	28	50	27
Thu Oct 22 15:12:05 2020	1603375925	25	24	50	22
Thu Oct 22 15:12:05 2020	1603375925	22	28	50	27
Thu Oct 22 15:12:05 2020	1603375925	27	24	51	21
Thu Oct 22 15:12:05 2020	1603375925	22	29	51	27
Thu Oct 22 15:12:05 2020	1603375925	22	29	51	28
Thu Oct 22 15:12:05 2020	1603375925	27	24	52	22
Thu Oct 22 15:12:05 2020	1603375925	25	27	52	26
Thu Oct 22 15:12:04 2020	1603375924	24	28	52	27
Thu Oct 22 15:12:04 2020	1603375924	24	27	52	26
Thu Oct 22 15:12:04 2020	1603375924	23	29	52	28
Thu Oct 22 15:12:05 2020	1603375925	24	29	52	27
Thu Oct 22 15:12:04 2020	1603375924	23	30	53	27
Thu Oct 22 15:12:04 2020	1603375924	23	30	53	29
Thu Oct 22 15:12:06 2020	1603375926	26	27	53	25
Thu Oct 22 15:12:05 2020	1603375925	26	27	53	25
Thu Oct 22 15:12:04 2020	1603375924	24	30	53	28
Thu Oct 22 15:12:04 2020	1603375924	23	30	53	28
Thu Oct 22 15:12:07 2020	1603375927	24	29	54	29
Thu Oct 22 15:12:07 2020	1603375927	25	29	54	28
Thu Oct 22 15:12:05 2020	1603375925	24	30	54	28
Thu Oct 22 15:12:06 2020	1603375926	23	31	54	30
Thu Oct 22 15:12:04 2020	1603375924	24	30	54	28
Thu Oct 22 15:12:05 2020	1603375925	27	27	54	26
Thu Oct 22 15:12:05 2020	1603375925	28	26	54	25
Thu Oct 22 15:12:04 2020	1603375924	24	30	54	29
Thu Oct 22 15:12:05 2020	1603375925	24	30	54	28
Thu Oct 22 15:12:06 2020	1603375926	27	27	54	25
Thu Oct 22 15:12:05 2020	1603375925	25	30	55	29
Thu Oct 22 15:12:05 2020	1603375925	25	30	55	28
Thu Oct 22 15:12:06 2020	1603375926	27	28	55	25
Thu Oct 22 15:12:06 2020	1603375926	29	26	55	23
Thu Oct 22 15:12:07 2020	1603375927	26	29	55	29
Thu Oct 22 15:12:04 2020	1603375924	25	30	55	28
Thu Oct 22 15:12:06 2020	1603375926	29	26	55	26
Thu Oct 22 15:12:08 2020	1603375928	29	27	55	25
Thu Oct 22 15:12:05 2020	1603375925	25	30	55	27
Thu Oct 22 15:12:04 2020	1603375924	25	31	55	29
Thu Oct 22 15:12:08 2020	1603375928	29	26	55	24
Thu Oct 22 15:12:08 2020	1603375928	29	27	56	27
Thu Oct 22 15:12:08 2020	1603375928	24	32	56	29
Thu Oct 22 15:12:05 2020	1603375925	29	27	56	25
Thu Oct 22 15:12:08 2020	1603375928	29	27	56	26
Thu Oct 22 15:12:05 2020	1603375925	24	32	56	29
Thu Oct 22 15:12:05 2020	1603375925	25	31	56	27
Thu Oct 22 15:12:05 2020	1603375925	28	28	56	26
Thu Oct 22 15:12:04 2020	1603375924	28	28	56	27
Thu Oct 22 15:12:08 2020	1603375928	29	27	56	25
Thu Oct 22 15:12:06 2020	1603375926	29	27	56	26
Thu Oct 22 15:12:05 2020	1603375925	30	27	56	24
Thu Oct 22 15:12:06 2020	1603375926	27	29	56	27
Thu Oct 22 15:12:04 2020	1603375924	28	28	56	27
Thu Oct 22 15:12:05 2020	1603375925	29	28	56	27
Thu Oct 22 15:12:06 2020	1603375926	29	27	56	27
Thu Oct 22 15:12:06 2020	1603375926	26	30	56	30
Thu Oct 22 15:12:06 2020	1603375926	27	29	56	27
Thu Oct 22 15:12:06 2020	1603375926	29	28	56	26
Thu Oct 22 15:12:10 2020	1603375930	27	29	57	28
Thu Oct 22 15:12:05 2020	1603375925	31	26	57	25
Thu Oct 22 15:12:09 2020	1603375929	27	29	57	27
Thu Oct 22 15:12:06 2020	1603375926	27	29	57	28
Thu Oct 22 15:12:05 2020	1603375925	30	27	57	25
Thu Oct 22 15:12:08 2020	1603375928	27	30	57	26
Thu Oct 22 15:12:08 2020	1603375928	25	32	57	31
Thu Oct 22 15:12:06 2020	1603375926	29	28	57	27
Thu Oct 22 15:12:06 2020	1603375926	27	30	57	28
Thu Oct 22 15:12:04 2020	1603375924	26	31	57	30
Thu Oct 22 15:12:07 2020	1603375927	29	28	57	27
Thu Oct 22 15:12:04 2020	1603375924	27	30	57	30
Thu Oct 22 15:12:08 2020	1603375928	30	27	57	25
Thu Oct 22 15:12:07 2020	1603375927	29	28	57	26
