starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 22 15:20:21 2020	1603376421	19	31	50	30
Thu Oct 22 15:20:21 2020	1603376421	27	23	50	22
Thu Oct 22 15:20:21 2020	1603376421	21	29	50	28
Thu Oct 22 15:20:21 2020	1603376421	23	28	51	27
Thu Oct 22 15:20:21 2020	1603376421	26	25	51	24
Thu Oct 22 15:20:21 2020	1603376421	29	22	51	22
Thu Oct 22 15:20:21 2020	1603376421	28	23	51	22
Thu Oct 22 15:20:21 2020	1603376421	23	29	51	27
Thu Oct 22 15:20:21 2020	1603376421	24	27	51	27
Thu Oct 22 15:20:21 2020	1603376421	21	30	51	30
Thu Oct 22 15:20:21 2020	1603376421	32	19	52	19
Thu Oct 22 15:20:21 2020	1603376421	29	23	52	21
Thu Oct 22 15:20:21 2020	1603376421	29	23	52	21
Thu Oct 22 15:20:21 2020	1603376421	29	23	52	22
Thu Oct 22 15:20:36 2020	1603376436	25	27	52	25
Thu Oct 22 15:20:21 2020	1603376421	25	27	52	26
Thu Oct 22 15:20:21 2020	1603376421	29	23	52	20
Thu Oct 22 15:20:21 2020	1603376421	22	30	52	29
Thu Oct 22 15:20:21 2020	1603376421	25	28	53	26
Thu Oct 22 15:20:21 2020	1603376421	30	23	53	20
Thu Oct 22 15:20:21 2020	1603376421	34	19	53	18
Thu Oct 22 15:20:21 2020	1603376421	21	33	54	30
Thu Oct 22 15:20:21 2020	1603376421	29	25	54	21
Thu Oct 22 15:20:21 2020	1603376421	30	24	54	21
Thu Oct 22 15:20:21 2020	1603376421	22	32	54	29
Thu Oct 22 15:20:21 2020	1603376421	26	28	54	27
Thu Oct 22 15:20:21 2020	1603376421	31	23	54	20
Thu Oct 22 15:20:21 2020	1603376421	30	24	54	22
Thu Oct 22 15:20:21 2020	1603376421	26	28	54	26
Thu Oct 22 15:20:21 2020	1603376421	25	29	54	28
Thu Oct 22 15:20:21 2020	1603376421	26	28	55	28
Thu Oct 22 15:20:21 2020	1603376421	31	24	55	23
