starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 22 15:19:45 2020	1603376385	20	30	50	29
Thu Oct 22 15:19:45 2020	1603376385	29	26	55	26
Thu Oct 22 15:19:47 2020	1603376387	30	26	55	26
Thu Oct 22 15:19:49 2020	1603376389	26	29	55	28
Thu Oct 22 15:19:47 2020	1603376387	29	26	56	24
Thu Oct 22 15:19:49 2020	1603376389	26	29	56	28
Thu Oct 22 15:19:48 2020	1603376388	25	31	56	30
Thu Oct 22 15:19:49 2020	1603376389	27	29	56	27
Thu Oct 22 15:19:47 2020	1603376387	29	27	56	26
Thu Oct 22 15:20:03 2020	1603376403	26	30	57	29
Thu Oct 22 15:19:48 2020	1603376388	29	28	57	26
Thu Oct 22 15:19:48 2020	1603376388	29	28	57	27
Thu Oct 22 15:19:45 2020	1603376385	30	27	57	26
Thu Oct 22 15:19:45 2020	1603376385	31	26	57	25
Thu Oct 22 15:19:49 2020	1603376389	29	28	57	26
Thu Oct 22 15:19:47 2020	1603376387	31	26	57	24
Thu Oct 22 15:19:47 2020	1603376387	29	28	57	27
Thu Oct 22 15:19:45 2020	1603376385	28	29	57	27
Thu Oct 22 15:19:47 2020	1603376387	30	28	57	26
Thu Oct 22 15:19:48 2020	1603376388	26	31	57	29
Thu Oct 22 15:19:45 2020	1603376385	29	28	57	27
Thu Oct 22 15:19:53 2020	1603376393	30	28	58	26
Thu Oct 22 15:19:49 2020	1603376389	30	28	58	27
Thu Oct 22 15:19:48 2020	1603376388	30	27	58	25
Thu Oct 22 15:19:48 2020	1603376388	28	29	58	29
Thu Oct 22 15:19:49 2020	1603376389	30	28	58	26
Thu Oct 22 15:19:48 2020	1603376388	30	28	58	27
Thu Oct 22 15:19:49 2020	1603376389	30	28	58	27
Thu Oct 22 15:19:49 2020	1603376389	28	30	58	27
Thu Oct 22 15:19:47 2020	1603376387	28	29	58	27
Thu Oct 22 15:19:50 2020	1603376390	27	31	58	29
Thu Oct 22 15:19:47 2020	1603376387	28	30	58	28
Thu Oct 22 15:20:05 2020	1603376405	29	29	58	28
Thu Oct 22 15:19:49 2020	1603376389	27	31	58	29
Thu Oct 22 15:19:50 2020	1603376390	30	28	58	27
Thu Oct 22 15:19:49 2020	1603376389	27	31	58	28
Thu Oct 22 15:19:45 2020	1603376385	29	29	58	27
Thu Oct 22 15:19:53 2020	1603376393	31	27	58	25
Thu Oct 22 15:19:48 2020	1603376388	29	29	58	27
Thu Oct 22 15:19:47 2020	1603376387	30	28	58	25
Thu Oct 22 15:19:47 2020	1603376387	30	28	58	27
Thu Oct 22 15:19:48 2020	1603376388	30	28	58	27
Thu Oct 22 15:19:53 2020	1603376393	30	28	58	27
Thu Oct 22 15:19:49 2020	1603376389	30	28	58	27
Thu Oct 22 15:19:48 2020	1603376388	29	29	58	28
Thu Oct 22 15:19:49 2020	1603376389	30	28	58	27
Thu Oct 22 15:19:49 2020	1603376389	29	30	58	29
Thu Oct 22 15:19:49 2020	1603376389	28	30	58	27
Thu Oct 22 15:20:03 2020	1603376403	31	28	58	28
Thu Oct 22 15:19:49 2020	1603376389	30	29	58	28
Thu Oct 22 15:19:52 2020	1603376392	28	30	58	28
Thu Oct 22 15:19:49 2020	1603376389	27	31	59	29
Thu Oct 22 15:19:45 2020	1603376385	26	33	59	32
Thu Oct 22 15:20:05 2020	1603376405	27	32	59	29
Thu Oct 22 15:19:49 2020	1603376389	32	27	59	25
Thu Oct 22 15:19:53 2020	1603376393	30	29	59	28
Thu Oct 22 15:19:45 2020	1603376385	31	28	59	26
Thu Oct 22 15:19:56 2020	1603376396	30	29	59	28
Thu Oct 22 15:19:47 2020	1603376387	30	29	59	28
Thu Oct 22 15:19:56 2020	1603376396	28	30	59	30
Thu Oct 22 15:19:48 2020	1603376388	29	30	59	27
Thu Oct 22 15:20:01 2020	1603376401	30	29	59	28
Thu Oct 22 15:19:57 2020	1603376397	28	31	59	30
Thu Oct 22 15:19:47 2020	1603376387	29	30	59	28
Thu Oct 22 15:20:03 2020	1603376403	28	31	59	30
Thu Oct 22 15:19:45 2020	1603376385	28	31	59	28
Thu Oct 22 15:19:49 2020	1603376389	30	29	59	27
Thu Oct 22 15:19:45 2020	1603376385	30	29	59	26
Thu Oct 22 15:19:57 2020	1603376397	30	29	59	27
Thu Oct 22 15:19:49 2020	1603376389	29	30	59	28
Thu Oct 22 15:19:45 2020	1603376385	30	29	59	28
Thu Oct 22 15:19:48 2020	1603376388	29	30	59	30
Thu Oct 22 15:19:56 2020	1603376396	30	29	59	29
Thu Oct 22 15:19:49 2020	1603376389	30	29	59	27
Thu Oct 22 15:19:53 2020	1603376393	30	29	59	29
Thu Oct 22 15:19:48 2020	1603376388	30	29	59	28
Thu Oct 22 15:19:45 2020	1603376385	29	30	59	27
Thu Oct 22 15:19:54 2020	1603376394	29	31	59	30
Thu Oct 22 15:19:47 2020	1603376387	29	31	59	29
Thu Oct 22 15:19:45 2020	1603376385	30	29	59	28
Thu Oct 22 15:19:56 2020	1603376396	30	30	59	28
Thu Oct 22 15:19:49 2020	1603376389	32	27	59	26
Thu Oct 22 15:19:54 2020	1603376394	31	28	59	26
Thu Oct 22 15:19:48 2020	1603376388	29	30	59	29
Thu Oct 22 15:19:45 2020	1603376385	30	30	59	28
Thu Oct 22 15:19:49 2020	1603376389	30	29	59	28
Thu Oct 22 15:19:49 2020	1603376389	30	30	59	28
Thu Oct 22 15:19:45 2020	1603376385	29	31	59	30
Thu Oct 22 15:19:49 2020	1603376389	29	30	59	29
Thu Oct 22 15:20:00 2020	1603376400	27	32	59	29
Thu Oct 22 15:20:03 2020	1603376403	31	29	59	25
Thu Oct 22 15:19:49 2020	1603376389	30	29	59	28
Thu Oct 22 15:19:49 2020	1603376389	30	30	60	28
Thu Oct 22 15:19:49 2020	1603376389	31	29	60	27
Thu Oct 22 15:19:48 2020	1603376388	28	31	60	30
Thu Oct 22 15:19:45 2020	1603376385	30	30	60	27
Thu Oct 22 15:19:49 2020	1603376389	33	27	60	26
Thu Oct 22 15:19:52 2020	1603376392	31	29	60	29
Thu Oct 22 15:19:49 2020	1603376389	28	31	60	29
Thu Oct 22 15:20:00 2020	1603376400	30	30	60	30
Thu Oct 22 15:19:47 2020	1603376387	30	30	60	27
Thu Oct 22 15:19:49 2020	1603376389	29	31	60	30
Thu Oct 22 15:19:54 2020	1603376394	29	30	60	30
Thu Oct 22 15:19:53 2020	1603376393	30	30	60	28
Thu Oct 22 15:19:45 2020	1603376385	30	30	60	28
Thu Oct 22 15:19:50 2020	1603376390	33	27	60	25
Thu Oct 22 15:19:53 2020	1603376393	30	30	60	28
Thu Oct 22 15:20:02 2020	1603376402	31	29	60	28
Thu Oct 22 15:20:01 2020	1603376401	30	30	60	29
Thu Oct 22 15:20:01 2020	1603376401	29	31	60	28
Thu Oct 22 15:19:45 2020	1603376385	30	30	60	29
Thu Oct 22 15:19:48 2020	1603376388	30	30	60	27
Thu Oct 22 15:20:03 2020	1603376403	31	29	60	27
Thu Oct 22 15:19:50 2020	1603376390	28	32	60	30
Thu Oct 22 15:19:57 2020	1603376397	29	31	60	30
Thu Oct 22 15:20:03 2020	1603376403	31	29	60	26
Thu Oct 22 15:19:49 2020	1603376389	29	31	60	28
Thu Oct 22 15:19:49 2020	1603376389	30	30	60	28
Thu Oct 22 15:19:49 2020	1603376389	30	30	60	28
Thu Oct 22 15:19:53 2020	1603376393	30	30	60	30
Thu Oct 22 15:20:03 2020	1603376403	32	28	60	27
Thu Oct 22 15:19:45 2020	1603376385	30	30	60	29
Thu Oct 22 15:19:49 2020	1603376389	30	30	60	28
Thu Oct 22 15:19:53 2020	1603376393	30	30	60	29
