starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 22 15:15:07 2020	1603376107	18	28	46	27
Thu Oct 22 15:15:08 2020	1603376108	19	27	46	27
Thu Oct 22 15:15:08 2020	1603376108	19	27	46	26
Thu Oct 22 15:15:07 2020	1603376107	18	29	47	29
Thu Oct 22 15:15:08 2020	1603376108	26	21	48	21
Thu Oct 22 15:15:07 2020	1603376107	23	25	48	24
Thu Oct 22 15:15:08 2020	1603376108	24	24	48	23
Thu Oct 22 15:15:07 2020	1603376107	27	21	48	20
Thu Oct 22 15:15:08 2020	1603376108	23	26	49	25
Thu Oct 22 15:15:08 2020	1603376108	25	24	49	22
Thu Oct 22 15:15:08 2020	1603376108	23	26	49	23
Thu Oct 22 15:15:08 2020	1603376108	21	28	49	27
Thu Oct 22 15:15:07 2020	1603376107	32	17	49	16
Thu Oct 22 15:15:07 2020	1603376107	26	23	49	21
Thu Oct 22 15:15:07 2020	1603376107	27	23	50	22
Thu Oct 22 15:15:08 2020	1603376108	23	27	50	25
Thu Oct 22 15:15:07 2020	1603376107	25	25	50	24
Thu Oct 22 15:15:08 2020	1603376108	20	30	50	28
Thu Oct 22 15:15:07 2020	1603376107	23	27	50	26
Thu Oct 22 15:15:07 2020	1603376107	23	27	50	25
Thu Oct 22 15:15:07 2020	1603376107	25	26	50	25
Thu Oct 22 15:15:08 2020	1603376108	26	24	50	23
Thu Oct 22 15:15:08 2020	1603376108	21	30	50	29
Thu Oct 22 15:15:07 2020	1603376107	29	21	51	19
Thu Oct 22 15:15:07 2020	1603376107	21	30	51	28
Thu Oct 22 15:15:07 2020	1603376107	27	24	51	23
Thu Oct 22 15:15:07 2020	1603376107	25	26	51	25
Thu Oct 22 15:15:07 2020	1603376107	28	23	51	23
Thu Oct 22 15:15:08 2020	1603376108	28	24	51	21
Thu Oct 22 15:15:07 2020	1603376107	27	25	51	24
Thu Oct 22 15:15:07 2020	1603376107	21	30	52	29
Thu Oct 22 15:15:07 2020	1603376107	27	24	52	23
Thu Oct 22 15:15:07 2020	1603376107	27	25	52	24
Thu Oct 22 15:15:08 2020	1603376108	28	24	52	21
Thu Oct 22 15:15:08 2020	1603376108	19	33	52	31
Thu Oct 22 15:15:07 2020	1603376107	28	24	52	23
Thu Oct 22 15:15:07 2020	1603376107	23	29	52	25
Thu Oct 22 15:15:07 2020	1603376107	30	22	52	20
Thu Oct 22 15:15:07 2020	1603376107	28	25	52	24
Thu Oct 22 15:15:07 2020	1603376107	23	30	52	29
Thu Oct 22 15:15:08 2020	1603376108	28	24	52	21
Thu Oct 22 15:15:07 2020	1603376107	28	25	52	22
Thu Oct 22 15:15:07 2020	1603376107	24	29	52	27
Thu Oct 22 15:15:08 2020	1603376108	26	26	52	25
Thu Oct 22 15:15:08 2020	1603376108	23	29	52	28
Thu Oct 22 15:15:07 2020	1603376107	26	26	52	25
Thu Oct 22 15:15:07 2020	1603376107	29	23	52	22
Thu Oct 22 15:15:07 2020	1603376107	28	25	52	21
Thu Oct 22 15:15:08 2020	1603376108	28	25	52	25
Thu Oct 22 15:15:07 2020	1603376107	29	24	52	24
Thu Oct 22 15:15:09 2020	1603376109	28	24	53	23
Thu Oct 22 15:15:07 2020	1603376107	28	25	53	24
Thu Oct 22 15:15:07 2020	1603376107	32	20	53	18
Thu Oct 22 15:15:07 2020	1603376107	26	26	53	25
Thu Oct 22 15:15:07 2020	1603376107	24	29	53	28
Thu Oct 22 15:15:08 2020	1603376108	30	23	53	22
Thu Oct 22 15:15:07 2020	1603376107	29	24	53	23
Thu Oct 22 15:15:07 2020	1603376107	30	23	53	22
Thu Oct 22 15:15:08 2020	1603376108	29	24	53	21
Thu Oct 22 15:15:08 2020	1603376108	29	24	53	23
Thu Oct 22 15:15:08 2020	1603376108	21	32	53	30
Thu Oct 22 15:15:07 2020	1603376107	30	23	53	23
Thu Oct 22 15:15:07 2020	1603376107	28	25	53	25
Thu Oct 22 15:15:07 2020	1603376107	30	23	53	21
Thu Oct 22 15:15:07 2020	1603376107	27	26	53	23
Thu Oct 22 15:15:09 2020	1603376109	27	26	53	24
Thu Oct 22 15:15:07 2020	1603376107	26	27	53	26
Thu Oct 22 15:15:07 2020	1603376107	26	27	53	25
Thu Oct 22 15:15:07 2020	1603376107	29	25	53	21
Thu Oct 22 15:15:07 2020	1603376107	29	24	53	23
Thu Oct 22 15:15:08 2020	1603376108	29	24	53	23
Thu Oct 22 15:15:07 2020	1603376107	28	26	53	24
Thu Oct 22 15:15:08 2020	1603376108	28	25	53	22
Thu Oct 22 15:15:09 2020	1603376109	28	25	53	24
Thu Oct 22 15:15:07 2020	1603376107	28	26	53	25
Thu Oct 22 15:15:07 2020	1603376107	29	25	53	24
Thu Oct 22 15:15:07 2020	1603376107	28	25	53	25
Thu Oct 22 15:15:07 2020	1603376107	27	26	53	24
Thu Oct 22 15:15:07 2020	1603376107	29	25	53	24
Thu Oct 22 15:15:07 2020	1603376107	22	32	54	31
Thu Oct 22 15:15:07 2020	1603376107	28	25	54	24
Thu Oct 22 15:15:07 2020	1603376107	29	24	54	23
Thu Oct 22 15:15:08 2020	1603376108	20	34	54	33
Thu Oct 22 15:15:07 2020	1603376107	29	25	54	23
Thu Oct 22 15:15:07 2020	1603376107	29	25	54	24
Thu Oct 22 15:15:07 2020	1603376107	30	24	54	23
Thu Oct 22 15:15:07 2020	1603376107	25	29	54	27
Thu Oct 22 15:15:07 2020	1603376107	30	24	54	23
Thu Oct 22 15:15:07 2020	1603376107	28	26	54	25
Thu Oct 22 15:15:07 2020	1603376107	30	24	54	23
Thu Oct 22 15:15:07 2020	1603376107	27	27	54	25
Thu Oct 22 15:15:07 2020	1603376107	24	30	54	28
Thu Oct 22 15:15:08 2020	1603376108	29	25	54	22
Thu Oct 22 15:15:07 2020	1603376107	28	26	54	26
Thu Oct 22 15:15:07 2020	1603376107	22	32	54	30
Thu Oct 22 15:15:08 2020	1603376108	21	33	54	30
Thu Oct 22 15:15:07 2020	1603376107	27	27	54	26
Thu Oct 22 15:15:07 2020	1603376107	28	26	54	25
Thu Oct 22 15:15:07 2020	1603376107	30	24	54	23
Thu Oct 22 15:15:07 2020	1603376107	27	27	54	26
Thu Oct 22 15:15:07 2020	1603376107	23	31	54	30
Thu Oct 22 15:15:08 2020	1603376108	23	31	54	30
Thu Oct 22 15:15:07 2020	1603376107	25	29	54	27
Thu Oct 22 15:15:07 2020	1603376107	28	26	54	25
Thu Oct 22 15:15:08 2020	1603376108	22	32	54	31
