starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 22 15:13:39 2020	1603376019	31	24	55	23
Thu Oct 22 15:13:38 2020	1603376018	26	29	55	28
Thu Oct 22 15:13:45 2020	1603376025	30	26	56	25
Thu Oct 22 15:13:45 2020	1603376025	30	26	56	26
Thu Oct 22 15:13:38 2020	1603376018	27	29	56	25
Thu Oct 22 15:13:38 2020	1603376018	27	29	56	28
Thu Oct 22 15:13:38 2020	1603376018	27	30	57	29
Thu Oct 22 15:13:40 2020	1603376020	27	29	57	28
Thu Oct 22 15:13:38 2020	1603376018	27	30	57	30
Thu Oct 22 15:13:41 2020	1603376021	29	29	57	28
Thu Oct 22 15:13:38 2020	1603376018	28	29	57	27
Thu Oct 22 15:13:38 2020	1603376018	30	28	57	28
Thu Oct 22 15:13:42 2020	1603376022	28	30	57	29
Thu Oct 22 15:13:38 2020	1603376018	28	30	58	28
Thu Oct 22 15:13:41 2020	1603376021	28	30	58	28
Thu Oct 22 15:13:38 2020	1603376018	29	29	58	28
Thu Oct 22 15:13:42 2020	1603376022	30	28	58	27
Thu Oct 22 15:13:41 2020	1603376021	28	30	58	29
Thu Oct 22 15:13:45 2020	1603376025	31	27	58	26
Thu Oct 22 15:13:41 2020	1603376021	29	30	58	29
Thu Oct 22 15:13:40 2020	1603376020	33	25	58	23
Thu Oct 22 15:13:39 2020	1603376019	28	30	58	29
Thu Oct 22 15:13:38 2020	1603376018	28	30	58	30
Thu Oct 22 15:13:40 2020	1603376020	29	30	58	29
Thu Oct 22 15:13:42 2020	1603376022	29	29	58	27
Thu Oct 22 15:13:41 2020	1603376021	26	32	58	32
Thu Oct 22 15:13:42 2020	1603376022	29	29	58	29
Thu Oct 22 15:13:38 2020	1603376018	30	29	58	27
Thu Oct 22 15:13:45 2020	1603376025	29	29	59	26
Thu Oct 22 15:13:38 2020	1603376018	30	28	59	27
Thu Oct 22 15:13:41 2020	1603376021	30	29	59	28
Thu Oct 22 15:13:41 2020	1603376021	29	30	59	27
Thu Oct 22 15:13:41 2020	1603376021	29	30	59	30
Thu Oct 22 15:13:45 2020	1603376025	28	31	59	29
Thu Oct 22 15:13:38 2020	1603376018	31	28	59	28
Thu Oct 22 15:13:42 2020	1603376022	29	29	59	28
Thu Oct 22 15:13:45 2020	1603376025	30	29	59	28
Thu Oct 22 15:13:38 2020	1603376018	30	29	59	28
Thu Oct 22 15:13:45 2020	1603376025	31	28	59	27
Thu Oct 22 15:13:41 2020	1603376021	30	29	59	28
Thu Oct 22 15:13:38 2020	1603376018	31	28	59	27
Thu Oct 22 15:13:40 2020	1603376020	28	31	59	31
Thu Oct 22 15:13:38 2020	1603376018	31	28	59	27
Thu Oct 22 15:13:38 2020	1603376018	30	29	59	28
Thu Oct 22 15:13:44 2020	1603376024	29	30	59	29
Thu Oct 22 15:13:40 2020	1603376020	28	32	59	30
Thu Oct 22 15:13:42 2020	1603376022	28	31	59	30
Thu Oct 22 15:13:41 2020	1603376021	29	30	59	29
Thu Oct 22 15:13:39 2020	1603376019	29	30	59	28
Thu Oct 22 15:13:45 2020	1603376025	28	31	59	27
Thu Oct 22 15:13:45 2020	1603376025	28	31	59	31
Thu Oct 22 15:13:42 2020	1603376022	29	30	59	29
Thu Oct 22 15:13:43 2020	1603376023	29	31	59	29
Thu Oct 22 15:13:38 2020	1603376018	28	32	59	31
Thu Oct 22 15:13:38 2020	1603376018	29	31	59	29
Thu Oct 22 15:13:44 2020	1603376024	30	29	59	28
Thu Oct 22 15:13:39 2020	1603376019	29	30	59	29
Thu Oct 22 15:13:38 2020	1603376018	34	25	60	24
Thu Oct 22 15:13:41 2020	1603376021	30	29	60	28
Thu Oct 22 15:13:41 2020	1603376021	28	31	60	30
Thu Oct 22 15:13:45 2020	1603376025	27	32	60	31
Thu Oct 22 15:13:41 2020	1603376021	28	31	60	29
Thu Oct 22 15:13:42 2020	1603376022	31	29	60	28
Thu Oct 22 15:13:41 2020	1603376021	29	30	60	29
Thu Oct 22 15:13:39 2020	1603376019	29	31	60	29
Thu Oct 22 15:13:40 2020	1603376020	29	31	60	30
Thu Oct 22 15:13:42 2020	1603376022	29	31	60	29
Thu Oct 22 15:13:41 2020	1603376021	29	31	60	29
Thu Oct 22 15:13:42 2020	1603376022	29	30	60	29
Thu Oct 22 15:13:42 2020	1603376022	29	30	60	28
Thu Oct 22 15:13:39 2020	1603376019	29	31	60	30
Thu Oct 22 15:13:38 2020	1603376018	28	32	60	31
Thu Oct 22 15:13:41 2020	1603376021	29	31	60	29
Thu Oct 22 15:13:41 2020	1603376021	31	29	60	29
Thu Oct 22 15:13:41 2020	1603376021	29	31	60	30
Thu Oct 22 15:13:41 2020	1603376021	31	29	60	28
Thu Oct 22 15:13:44 2020	1603376024	29	31	60	29
Thu Oct 22 15:13:45 2020	1603376025	31	29	60	28
Thu Oct 22 15:13:40 2020	1603376020	28	32	60	29
Thu Oct 22 15:13:38 2020	1603376018	26	34	60	28
Thu Oct 22 15:13:44 2020	1603376024	31	29	60	29
Thu Oct 22 15:13:45 2020	1603376025	31	30	60	28
Thu Oct 22 15:13:41 2020	1603376021	28	33	60	31
Thu Oct 22 15:13:41 2020	1603376021	27	33	60	32
Thu Oct 22 15:13:39 2020	1603376019	31	29	60	27
