starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 22 15:10:38 2020	1603375838	30	24	53	23
Thu Oct 22 15:10:38 2020	1603375838	28	25	53	24
Thu Oct 22 15:10:44 2020	1603375844	27	27	54	26
Thu Oct 22 15:10:38 2020	1603375838	24	29	54	29
Thu Oct 22 15:10:38 2020	1603375838	31	23	54	22
Thu Oct 22 15:10:40 2020	1603375840	28	25	54	24
Thu Oct 22 15:10:38 2020	1603375838	29	25	54	23
Thu Oct 22 15:10:41 2020	1603375841	29	25	54	25
Thu Oct 22 15:10:37 2020	1603375837	26	28	54	28
Thu Oct 22 15:10:38 2020	1603375838	28	26	54	24
Thu Oct 22 15:10:35 2020	1603375835	31	24	54	23
Thu Oct 22 15:10:40 2020	1603375840	26	28	54	25
Thu Oct 22 15:10:40 2020	1603375840	28	27	54	26
Thu Oct 22 15:10:39 2020	1603375839	24	30	54	28
Thu Oct 22 15:10:38 2020	1603375838	24	30	54	29
Thu Oct 22 15:10:40 2020	1603375840	24	30	54	30
Thu Oct 22 15:10:35 2020	1603375835	30	25	55	23
Thu Oct 22 15:10:38 2020	1603375838	29	26	55	23
Thu Oct 22 15:10:36 2020	1603375836	30	24	55	24
Thu Oct 22 15:10:36 2020	1603375836	25	29	55	28
Thu Oct 22 15:10:40 2020	1603375840	26	29	55	27
Thu Oct 22 15:10:40 2020	1603375840	26	29	55	27
Thu Oct 22 15:10:38 2020	1603375838	31	24	55	22
Thu Oct 22 15:10:40 2020	1603375840	28	27	55	25
Thu Oct 22 15:10:40 2020	1603375840	26	29	55	28
Thu Oct 22 15:10:38 2020	1603375838	28	26	55	25
Thu Oct 22 15:10:38 2020	1603375838	29	26	55	25
Thu Oct 22 15:10:44 2020	1603375844	24	31	55	29
Thu Oct 22 15:10:35 2020	1603375835	28	26	55	26
Thu Oct 22 15:10:37 2020	1603375837	27	28	55	28
Thu Oct 22 15:10:36 2020	1603375836	30	26	55	24
Thu Oct 22 15:10:37 2020	1603375837	29	26	55	26
Thu Oct 22 15:10:38 2020	1603375838	29	26	55	24
Thu Oct 22 15:10:40 2020	1603375840	25	30	55	29
Thu Oct 22 15:10:40 2020	1603375840	27	28	55	28
Thu Oct 22 15:10:36 2020	1603375836	24	32	55	29
Thu Oct 22 15:10:40 2020	1603375840	26	29	55	28
Thu Oct 22 15:10:40 2020	1603375840	27	28	55	26
Thu Oct 22 15:10:38 2020	1603375838	27	29	55	28
Thu Oct 22 15:10:34 2020	1603375834	30	25	55	24
Thu Oct 22 15:10:36 2020	1603375836	30	26	55	24
Thu Oct 22 15:10:38 2020	1603375838	29	26	55	25
Thu Oct 22 15:10:35 2020	1603375835	29	26	55	26
Thu Oct 22 15:10:39 2020	1603375839	24	31	55	30
Thu Oct 22 15:10:36 2020	1603375836	28	28	55	26
Thu Oct 22 15:10:40 2020	1603375840	29	27	56	27
Thu Oct 22 15:10:41 2020	1603375841	27	29	56	28
Thu Oct 22 15:10:41 2020	1603375841	28	28	56	27
Thu Oct 22 15:10:40 2020	1603375840	28	27	56	25
Thu Oct 22 15:10:40 2020	1603375840	29	27	56	24
Thu Oct 22 15:10:37 2020	1603375837	30	25	56	25
Thu Oct 22 15:10:35 2020	1603375835	28	28	56	26
Thu Oct 22 15:10:36 2020	1603375836	29	27	56	25
Thu Oct 22 15:10:40 2020	1603375840	27	29	56	27
Thu Oct 22 15:10:41 2020	1603375841	26	29	56	28
Thu Oct 22 15:10:37 2020	1603375837	29	27	56	26
Thu Oct 22 15:10:40 2020	1603375840	29	27	56	25
Thu Oct 22 15:10:36 2020	1603375836	26	29	56	29
Thu Oct 22 15:10:40 2020	1603375840	27	29	56	27
Thu Oct 22 15:10:39 2020	1603375839	27	29	56	29
Thu Oct 22 15:10:38 2020	1603375838	30	26	56	25
Thu Oct 22 15:10:40 2020	1603375840	30	26	56	25
Thu Oct 22 15:10:38 2020	1603375838	28	28	56	26
Thu Oct 22 15:10:34 2020	1603375834	27	29	56	28
Thu Oct 22 15:10:40 2020	1603375840	30	26	56	26
Thu Oct 22 15:10:40 2020	1603375840	27	29	56	28
Thu Oct 22 15:10:40 2020	1603375840	30	26	56	25
Thu Oct 22 15:10:43 2020	1603375843	28	28	56	25
Thu Oct 22 15:10:38 2020	1603375838	28	28	56	27
Thu Oct 22 15:10:33 2020	1603375833	26	29	56	28
Thu Oct 22 15:10:36 2020	1603375836	28	28	56	26
Thu Oct 22 15:10:35 2020	1603375835	26	30	56	29
Thu Oct 22 15:10:37 2020	1603375837	27	29	56	28
Thu Oct 22 15:10:35 2020	1603375835	29	27	56	25
Thu Oct 22 15:10:38 2020	1603375838	31	25	56	23
Thu Oct 22 15:10:36 2020	1603375836	30	26	56	25
Thu Oct 22 15:10:37 2020	1603375837	29	27	56	26
Thu Oct 22 15:10:38 2020	1603375838	29	27	56	26
Thu Oct 22 15:10:40 2020	1603375840	30	27	56	24
Thu Oct 22 15:10:40 2020	1603375840	27	29	56	28
Thu Oct 22 15:10:38 2020	1603375838	29	27	56	24
Thu Oct 22 15:10:37 2020	1603375837	28	28	56	26
Thu Oct 22 15:10:34 2020	1603375834	28	28	56	28
Thu Oct 22 15:10:38 2020	1603375838	28	28	56	27
Thu Oct 22 15:10:42 2020	1603375842	27	29	56	28
Thu Oct 22 15:10:37 2020	1603375837	29	28	56	25
Thu Oct 22 15:10:42 2020	1603375842	24	32	56	30
Thu Oct 22 15:10:40 2020	1603375840	27	29	56	29
Thu Oct 22 15:10:40 2020	1603375840	26	30	56	29
Thu Oct 22 15:10:39 2020	1603375839	24	32	56	30
Thu Oct 22 15:10:38 2020	1603375838	29	28	56	26
Thu Oct 22 15:10:40 2020	1603375840	26	31	56	31
Thu Oct 22 15:10:42 2020	1603375842	26	30	56	29
Thu Oct 22 15:10:38 2020	1603375838	28	29	56	26
Thu Oct 22 15:10:39 2020	1603375839	27	30	56	29
Thu Oct 22 15:10:40 2020	1603375840	29	28	56	26
Thu Oct 22 15:10:36 2020	1603375836	29	27	56	27
Thu Oct 22 15:10:36 2020	1603375836	30	27	56	25
Thu Oct 22 15:10:37 2020	1603375837	28	28	56	27
Thu Oct 22 15:10:38 2020	1603375838	26	31	56	28
Thu Oct 22 15:10:36 2020	1603375836	28	28	56	28
Thu Oct 22 15:10:34 2020	1603375834	23	34	56	33
Thu Oct 22 15:10:34 2020	1603375834	30	27	56	25
Thu Oct 22 15:10:38 2020	1603375838	30	26	56	24
Thu Oct 22 15:10:40 2020	1603375840	29	28	56	27
Thu Oct 22 15:10:38 2020	1603375838	29	28	56	27
Thu Oct 22 15:10:35 2020	1603375835	29	28	56	27
Thu Oct 22 15:10:34 2020	1603375834	30	27	57	26
Thu Oct 22 15:10:36 2020	1603375836	26	30	57	29
Thu Oct 22 15:10:35 2020	1603375835	28	29	57	28
Thu Oct 22 15:10:38 2020	1603375838	25	32	57	30
Thu Oct 22 15:10:34 2020	1603375834	28	29	57	29
Thu Oct 22 15:10:40 2020	1603375840	26	30	57	29
Thu Oct 22 15:10:37 2020	1603375837	27	29	57	27
Thu Oct 22 15:10:40 2020	1603375840	29	27	57	26
Thu Oct 22 15:10:35 2020	1603375835	31	26	57	25
Thu Oct 22 15:10:40 2020	1603375840	30	27	57	27
Thu Oct 22 15:10:39 2020	1603375839	28	28	57	28
Thu Oct 22 15:10:35 2020	1603375835	26	31	57	30
Thu Oct 22 15:10:35 2020	1603375835	28	29	57	28
Thu Oct 22 15:10:38 2020	1603375838	31	26	57	25
Thu Oct 22 15:10:37 2020	1603375837	29	27	57	26
Thu Oct 22 15:10:41 2020	1603375841	29	28	57	25
Thu Oct 22 15:10:37 2020	1603375837	29	27	57	25
Thu Oct 22 15:10:37 2020	1603375837	30	27	57	25
Thu Oct 22 15:10:36 2020	1603375836	28	29	57	28
Thu Oct 22 15:10:40 2020	1603375840	27	30	57	29
Thu Oct 22 15:10:40 2020	1603375840	30	27	57	25
Thu Oct 22 15:10:42 2020	1603375842	28	29	57	28
Thu Oct 22 15:10:36 2020	1603375836	27	30	57	29
Thu Oct 22 15:10:41 2020	1603375841	31	26	57	24
Thu Oct 22 15:10:34 2020	1603375834	29	27	57	26
Thu Oct 22 15:10:40 2020	1603375840	29	28	57	28
Thu Oct 22 15:10:34 2020	1603375834	26	30	57	30
Thu Oct 22 15:10:40 2020	1603375840	26	31	57	28
Thu Oct 22 15:10:40 2020	1603375840	30	27	57	26
Thu Oct 22 15:10:36 2020	1603375836	29	28	57	26
Thu Oct 22 15:10:36 2020	1603375836	29	28	57	25
Thu Oct 22 15:10:37 2020	1603375837	28	29	57	27
Thu Oct 22 15:10:41 2020	1603375841	29	28	57	26
Thu Oct 22 15:10:39 2020	1603375839	27	30	57	30
Thu Oct 22 15:10:40 2020	1603375840	30	27	57	27
Thu Oct 22 15:10:36 2020	1603375836	30	27	57	26
Thu Oct 22 15:10:37 2020	1603375837	27	29	57	29
Thu Oct 22 15:10:42 2020	1603375842	25	32	57	31
Thu Oct 22 15:10:35 2020	1603375835	28	29	57	27
Thu Oct 22 15:10:40 2020	1603375840	29	28	57	26
Thu Oct 22 15:10:42 2020	1603375842	23	34	57	32
Thu Oct 22 15:10:43 2020	1603375843	28	29	57	28
Thu Oct 22 15:10:39 2020	1603375839	30	27	57	25
Thu Oct 22 15:10:36 2020	1603375836	28	29	57	29
Thu Oct 22 15:10:34 2020	1603375834	23	34	57	33
Thu Oct 22 15:10:37 2020	1603375837	29	28	57	27
Thu Oct 22 15:10:34 2020	1603375834	28	29	57	27
Thu Oct 22 15:10:34 2020	1603375834	32	25	57	24
Thu Oct 22 15:10:34 2020	1603375834	26	31	57	30
Thu Oct 22 15:10:38 2020	1603375838	29	28	57	25
Thu Oct 22 15:10:38 2020	1603375838	26	31	57	29
Thu Oct 22 15:10:41 2020	1603375841	29	28	57	26
Thu Oct 22 15:10:34 2020	1603375834	27	30	57	30
Thu Oct 22 15:10:37 2020	1603375837	29	28	57	25
Thu Oct 22 15:10:42 2020	1603375842	30	27	57	26
Thu Oct 22 15:10:40 2020	1603375840	29	28	57	26
Thu Oct 22 15:10:38 2020	1603375838	30	27	57	26
Thu Oct 22 15:10:39 2020	1603375839	31	26	57	25
Thu Oct 22 15:10:34 2020	1603375834	30	27	57	26
Thu Oct 22 15:10:41 2020	1603375841	28	29	57	28
Thu Oct 22 15:10:36 2020	1603375836	29	28	57	28
Thu Oct 22 15:10:36 2020	1603375836	31	26	57	24
Thu Oct 22 15:10:37 2020	1603375837	28	29	57	28
Thu Oct 22 15:10:42 2020	1603375842	29	28	57	27
Thu Oct 22 15:10:35 2020	1603375835	30	27	57	26
Thu Oct 22 15:10:34 2020	1603375834	29	28	57	25
Thu Oct 22 15:10:43 2020	1603375843	30	28	57	27
Thu Oct 22 15:10:35 2020	1603375835	29	28	57	28
Thu Oct 22 15:10:34 2020	1603375834	29	28	57	26
Thu Oct 22 15:10:34 2020	1603375834	27	31	57	30
Thu Oct 22 15:10:38 2020	1603375838	26	31	57	31
Thu Oct 22 15:10:36 2020	1603375836	30	28	57	27
Thu Oct 22 15:10:34 2020	1603375834	29	28	57	28
Thu Oct 22 15:10:38 2020	1603375838	26	31	57	29
