starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 22 15:17:52 2020	1603376272	25	28	52	26
Thu Oct 22 15:17:53 2020	1603376273	25	27	53	25
Thu Oct 22 15:17:53 2020	1603376273	31	22	53	21
Thu Oct 22 15:17:53 2020	1603376273	26	27	53	27
Thu Oct 22 15:17:54 2020	1603376274	30	23	53	22
Thu Oct 22 15:17:53 2020	1603376273	31	22	54	20
Thu Oct 22 15:17:53 2020	1603376273	27	27	54	26
Thu Oct 22 15:17:52 2020	1603376272	27	27	54	24
Thu Oct 22 15:17:53 2020	1603376273	24	31	55	30
Thu Oct 22 15:17:52 2020	1603376272	26	28	55	25
Thu Oct 22 15:17:54 2020	1603376274	27	28	55	27
Thu Oct 22 15:17:52 2020	1603376272	28	27	55	26
Thu Oct 22 15:17:52 2020	1603376272	29	26	55	24
Thu Oct 22 15:17:53 2020	1603376273	23	32	55	30
Thu Oct 22 15:17:54 2020	1603376274	24	32	55	30
Thu Oct 22 15:17:54 2020	1603376274	30	25	56	24
Thu Oct 22 15:17:54 2020	1603376274	29	27	56	27
Thu Oct 22 15:17:54 2020	1603376274	30	26	56	23
Thu Oct 22 15:18:12 2020	1603376292	30	27	56	25
Thu Oct 22 15:17:53 2020	1603376273	27	29	56	29
Thu Oct 22 15:17:54 2020	1603376274	25	31	56	28
Thu Oct 22 15:17:54 2020	1603376274	30	26	57	25
Thu Oct 22 15:17:53 2020	1603376273	33	23	57	21
Thu Oct 22 15:17:54 2020	1603376274	29	27	57	24
Thu Oct 22 15:17:53 2020	1603376273	25	32	57	29
Thu Oct 22 15:18:10 2020	1603376290	30	27	57	25
Thu Oct 22 15:17:53 2020	1603376273	31	25	57	23
Thu Oct 22 15:18:03 2020	1603376283	29	28	57	26
Thu Oct 22 15:17:54 2020	1603376274	29	28	57	23
Thu Oct 22 15:17:54 2020	1603376274	32	25	57	23
Thu Oct 22 15:17:53 2020	1603376273	28	29	57	27
Thu Oct 22 15:17:54 2020	1603376274	29	28	57	27
Thu Oct 22 15:17:53 2020	1603376273	27	30	57	28
Thu Oct 22 15:17:52 2020	1603376272	29	28	57	26
Thu Oct 22 15:17:54 2020	1603376274	30	27	57	24
Thu Oct 22 15:18:10 2020	1603376290	26	31	57	28
Thu Oct 22 15:17:53 2020	1603376273	24	34	57	31
Thu Oct 22 15:18:00 2020	1603376280	29	29	57	27
Thu Oct 22 15:17:53 2020	1603376273	25	33	57	31
Thu Oct 22 15:17:53 2020	1603376273	27	30	57	30
Thu Oct 22 15:18:00 2020	1603376280	29	28	57	27
Thu Oct 22 15:17:53 2020	1603376273	28	30	57	29
Thu Oct 22 15:17:53 2020	1603376273	29	29	58	27
Thu Oct 22 15:18:11 2020	1603376291	27	30	58	28
Thu Oct 22 15:17:54 2020	1603376274	30	27	58	24
Thu Oct 22 15:17:56 2020	1603376276	29	28	58	28
Thu Oct 22 15:17:53 2020	1603376273	25	33	58	31
Thu Oct 22 15:18:06 2020	1603376286	26	31	58	29
Thu Oct 22 15:17:54 2020	1603376274	26	31	58	28
Thu Oct 22 15:17:53 2020	1603376273	29	29	58	27
Thu Oct 22 15:18:05 2020	1603376285	27	30	58	29
Thu Oct 22 15:17:55 2020	1603376275	28	30	58	28
Thu Oct 22 15:17:54 2020	1603376274	28	30	58	28
Thu Oct 22 15:17:54 2020	1603376274	28	30	58	29
Thu Oct 22 15:17:54 2020	1603376274	32	26	58	22
Thu Oct 22 15:17:54 2020	1603376274	31	27	58	26
Thu Oct 22 15:17:54 2020	1603376274	29	29	58	25
Thu Oct 22 15:17:54 2020	1603376274	32	26	58	25
Thu Oct 22 15:17:54 2020	1603376274	26	32	58	29
Thu Oct 22 15:17:53 2020	1603376273	29	29	58	26
Thu Oct 22 15:17:53 2020	1603376273	29	29	58	27
Thu Oct 22 15:17:53 2020	1603376273	29	30	58	23
Thu Oct 22 15:17:54 2020	1603376274	25	33	58	30
Thu Oct 22 15:18:11 2020	1603376291	30	29	58	27
Thu Oct 22 15:17:54 2020	1603376274	30	28	58	25
Thu Oct 22 15:17:54 2020	1603376274	29	29	58	27
Thu Oct 22 15:18:10 2020	1603376290	32	27	58	25
Thu Oct 22 15:17:57 2020	1603376277	28	30	58	28
Thu Oct 22 15:18:00 2020	1603376280	28	30	58	29
Thu Oct 22 15:17:54 2020	1603376274	27	32	58	30
Thu Oct 22 15:18:11 2020	1603376291	28	31	58	29
Thu Oct 22 15:17:53 2020	1603376273	31	28	58	25
Thu Oct 22 15:18:13 2020	1603376293	30	29	58	27
Thu Oct 22 15:17:56 2020	1603376276	30	29	59	28
Thu Oct 22 15:17:53 2020	1603376273	25	34	59	34
Thu Oct 22 15:17:53 2020	1603376273	29	29	59	28
Thu Oct 22 15:18:11 2020	1603376291	27	32	59	30
Thu Oct 22 15:17:54 2020	1603376274	30	29	59	26
Thu Oct 22 15:18:11 2020	1603376291	29	30	59	29
Thu Oct 22 15:18:00 2020	1603376280	29	30	59	27
Thu Oct 22 15:18:10 2020	1603376290	25	34	59	31
Thu Oct 22 15:18:03 2020	1603376283	29	30	59	29
Thu Oct 22 15:18:00 2020	1603376280	29	30	59	28
Thu Oct 22 15:17:54 2020	1603376274	30	29	59	28
Thu Oct 22 15:18:10 2020	1603376290	25	34	59	34
Thu Oct 22 15:17:53 2020	1603376273	30	29	59	27
Thu Oct 22 15:17:54 2020	1603376274	31	28	59	26
Thu Oct 22 15:18:03 2020	1603376283	29	30	59	29
